Method Forcing Response AV_ergodic_mean AV_linear_response N_samples
COLOR 0.1 0.01152558146850712 300.81382821060856 30081.38282106085 276999998
SINGLE 0.1 0.011533477600503219 323.24763997858383 32324.763997858376 256699998
TWO 0.1 0.012150549062143847 303.7060652042029 30370.606520420286 31199999
COLOR 0.2 0.023894241681758892 305.4269093756911 7635.672734392276 270999998
SINGLE 0.2 0.024275339822369756 296.05039339694576 7401.259834923642 258799998
TWO 0.2 0.02079095114688705 295.94611775484384 7398.652943871095 31299999
COLOR 0.3 0.03757235288082065 303.50240171663796 3372.2489079626444 272799998
SINGLE 0.3 0.03827698810114166 302.96164102162476 3366.2404557958307 256799998
TWO 0.3 0.0409587798410222 318.4586439082868 3538.429376758742 31099999
COLOR 0.4 0.048339600753670865 305.5223279061535 1909.5145494134592 266699998
SINGLE 0.4 0.048115132329109245 326.40830069247426 2040.0518793279637 263499998
TWO 0.4 0.05151971969330276 307.15700236041874 1919.7312647526169 31299999
COLOR 0.5 0.060325656492296195 316.7478245235522 1266.9912980942088 272899998
SINGLE 0.5 0.060403736914796766 296.8207930695418 1187.2831722781673 265799998
TWO 0.5 0.0648162888605294 297.33429263681944 1189.3371705472778 30099999
COLOR 0.6 0.07517025753839653 303.05581375794566 841.8217048831824 274599998
SINGLE 0.6 0.07405874701988834 314.835176455292 874.5421568202556 265899998
TWO 0.6 0.0766861249651476 317.3200233501292 881.4445093059145 31199999
COLOR 0.7 0.08412920914057082 309.2578436481268 631.1384564247487 269499998
SINGLE 0.7 0.08276111092749357 299.3965698918396 611.0134079425299 259799998
TWO 0.7 0.08451208213903029 302.321525805482 616.9827057254736 30899999
COLOR 0.8 0.09621625059935705 298.059280943211 465.71762647376704 273799998
SINGLE 0.8 0.0989984864058256 326.38891312383777 509.9826767559964 259899998
TWO 0.8 0.09569469836286167 328.3330590076512 513.0204046994548 30999999
COLOR 0.9 0.10875725724931051 301.6075068980251 372.3549467876853 271799998
SINGLE 0.9 0.11046451003893744 309.67528290584136 382.3151640812856 258799998
TWO 0.9 0.10879382138276224 285.9006997134578 352.96382680673804 30199999
COLOR 1.0 0.12137967487434725 318.20755497543024 318.20755497543024 271999998
SINGLE 1.0 0.12193004349668012 312.8092159915449 312.8092159915449 259099998
TWO 1.0 0.12357909297941083 316.0105893601149 316.0105893601149 30999999
COLOR 10.0 1.2076625162622938 304.63394449458366 3.0463394449458367 23799999
SINGLE 10.0 1.2432074483060447 442.9384934076593 4.429384934076593 33499999
TWO 10.0 1.224060184515269 388.2449351330565 3.8824493513305653 20199999
COLOR 100.0 13.163204612998765 3793.5599974285865 0.37935599974285866 22999999
SINGLE 100.0 10.504868337105453 4253.023634991534 0.4253023634991534 22099999
TWO 100.0 10.70282914099352 3621.4958790219443 0.3621495879021944 100299999
COLOR 1000.0 79.14139274240557 18622.56201352867 0.01862256201352867 8399999
TWO 1000.0 45.19132178192136 13096.265335904784 0.013096265335904784 2899999
COLOR 2.0 0.24616855154504652 292.6288293528347 73.15720733820868 21899999
SINGLE 2.0 0.24202567695392788 317.4530144278533 79.36325360696333 33599999
TWO 2.0 0.2380202052941676 329.22898227432546 82.30724556858137 22999999
COLOR 20.0 2.424025058789912 344.08775989166264 0.8602193997291566 19999999
SINGLE 20.0 2.4978775389799845 583.5189169727413 1.4587972924318533 22599999
TWO 20.0 2.480890695044993 528.4473908442873 1.3211184771107183 102799999
COLOR 200.0 27.412642285355204 12689.44687031248 0.317236171757812 8299999
SINGLE 200.0 16.96344012051534 8477.37358872052 0.211934339718013 10399999
TWO 200.0 17.684116923004687 5979.760509822395 0.14949401274555987 3599999
COLOR 3.0 0.36150055709032347 281.9264566812843 31.325161853476036 21999999
SINGLE 3.0 0.3609985178148325 309.4181036286997 34.379789292077746 32599999
TWO 3.0 0.35585755379938305 303.0676567335285 33.67418408150317 22999999
COLOR 30.0 3.66318044514379 376.06273534375384 0.4178474837152821 23299999
SINGLE 30.0 3.663486726977289 755.1069454003452 0.8390077171114947 22399999
TWO 30.0 3.7060702479860232 653.8682950677377 0.7265203278530419 102199999
COLOR 300.0 38.026062566962416 19621.810712284037 0.21802011902537818 7999999
