Method Forcing Response AV_ergodic_mean AV_linear_response N_samples
COLOR 0.07765663071323761 0.01 18918.67751679082 52020.74874839616 256399998
SINGLE 0.08300182799488019 0.01 20853.947839502158 43937.733887315524 260799997
TWO 0.08882216984451244 0.01 19488.032611254235 31309.957936440638 55499999
COLOR 0.17190603529593979 0.02 19995.84206357877 9158.72865318136 257399998
SINGLE 0.1881204662319739 0.02 20782.757836402703 6637.720829798929 260599997
TWO 0.20885575520897914 0.02 20168.34948324592 4239.7920978063385 54799999
COLOR 0.24342927077174542 0.03 20432.484922177595 5236.8785741890815 253899998
SINGLE 0.27495991149800814 0.03 20717.607918773014 3262.1550700439716 256799997
TWO 0.26923225031006776 0.03 19633.213212252296 3362.9899368081 55999999
COLOR 0.330973483584958 0.04 18408.39132647874 2454.499887270855 255699998
SINGLE 0.3680472020532399 0.04 21144.008188570293 1843.7125798036382 257099997
TWO 0.37383216884848885 0.04 19431.153037141725 1591.885670361733 55499999
COLOR 0.39489388095220845 0.05 18294.04338542753 1880.7371210474967 252799998
SINGLE 0.4611270331830819 0.05 20884.656684554106 1154.7421449364936 266299996
TWO 0.4326667664158205 0.05 19487.70352389547 1390.2295680883144 55599999
COLOR 0.5031054795464378 0.06 18999.370411477383 1067.5925163926888 255199998
SINGLE 0.5459337828715707 0.06 21537.865910620756 872.8614050837264 270199997
TWO 0.50598476339638 0.06 20161.20484494536 1107.3100104371806 56499999
COLOR 0.5697682524979518 0.07 18789.996045184143 873.6345119407255 257299998
SINGLE 0.6413879186847113 0.07 20755.787522129915 600.9691731603048 258899997
TWO 0.6141173052642834 0.07 19670.15606343049 677.6392347773003 57899999
COLOR 0.6636463905376117 0.08 18580.00439888163 613.0259227759245 256499998
SINGLE 0.7303145269681027 0.08 20719.022470223983 466.1326003029218 260499997
TWO 0.6737634927534097 0.08 19577.95595298404 608.0193759623639 55499999
COLOR 0.750985236049555 0.09 18697.739553259507 476.15519670719607 255399998
SINGLE 0.8338446141044903 0.09 21023.666748960033 352.2515971459923 261799997
TWO 0.7956220046027171 0.09 19615.735276403102 396.51759826161964 54499999
COLOR 0.825588750948742 0.1 18207.71686999946 391.92270517300307 552999999
SINGLE 0.9169657492187997 0.1 21026.255942707347 297.4058386269761 270999998
TWO 0.8655854695279772 0.1 19611.288968705707 349.3544740490653 36699999
COLOR 1.6907148978329811 0.2 18744.369396653798 91.75913433414564 58599999
SINGLE 1.8674766716017746 0.2 21023.052549790635 69.14089959084366 68399999
TWO 1.755154688923857 0.2 19643.29775889004 82.79665597441844 37099999
COLOR 2.5278174087065115 0.3 18197.5414263665 40.11182523155073 58699999
SINGLE 2.741768106785328 0.3 21224.341859465418 33.80289221471594 68199999
TWO 2.580599929013274 0.3 20458.746145479992 41.51822700078569 36999999
COLOR 3.3155078964649656 0.4 18852.60371635509 24.962671118872326 56699999
SINGLE 3.644829075997672 0.4 21437.32273293676 19.434879897536486 68299999
TWO 3.4364021472284736 0.4 20906.15451705447 23.987125738014942 37699999
COLOR 4.141624040253572 0.5 18470.77975627207 15.694321577210363 57299999
SINGLE 4.521970472857659 0.5 21972.704981763978 13.137497443524133 67999999
TWO 4.335569017241714 0.5 20403.42522451992 14.436392228301985 37899999
COLOR 4.954302049107222 0.6 19093.214152745524 11.409106172158458 58999999
SINGLE 5.379130447607156 0.6 22581.26886028067 9.709626785763245 68499999
TWO 5.1912059565763435 0.6 22089.37947464631 10.949971249699468 36599999
COLOR 5.835179943098383 0.7 18483.189465299776 7.811887540540774 57199999
SINGLE 6.21868316809787 0.7 23071.77764924197 7.559331911497191 67599999
TWO 6.075551530967873 0.7 20849.73545476537 7.498144297017962 37699999
COLOR 6.595950517378198 0.8 19280.138809983855 6.518993899738567 58899999
SINGLE 7.0698592001107885 0.8 23891.94652018295 6.120521800791293 66199999
TWO 6.884991268800222 0.8 21591.394962652976 6.14960329084042 37099999
COLOR 7.439566097426911 0.9 18175.169349183598 4.805881503781192 57499999
SINGLE 7.899225917997162 0.9 24402.46973958989 5.076690207255793 68699999
TWO 7.777888045248684 0.9 21960.980841868255 4.860601330456446 37199999
COLOR 8.296041477988847 1.0 19131.949640602503 4.039015967485172 61899998
SINGLE 8.664259034295558 1.0 25057.503856492684 4.44643649933161 73699998
TWO 8.540385246802687 1.0 22325.28713124827 4.19649979833294 37799999
COLOR 78.26917567660699 10.0 53289.136199583445 0.14199584645069724 7599998
SINGLE 98.81597721770092 10.0 579903.3254781008 0.6082007058218173 11899998
TWO 94.0976140984968 10.0 346673.3564485951 0.44218704859764535 26299999
COLOR 1529.4405143527151 100.0 8.627129479268026e6 0.015766523950859278 3399999
COLOR 16.671316655868367 2.0 18590.744464559848 0.9626694067872137 4399999
SINGLE 16.636898846576752 2.0 37502.65974016821 1.9580895812037087 5199999
TWO 16.63054395308232 2.0 29832.91296860438 1.5600188100572614 26399999
COLOR 146.1336887473713 20.0 141089.55791342678 0.12375235604181112 3399999
SINGLE 281.98533988705327 20.0 3.958337503509129e6 0.2504186620348284 7299999
